listing_type,state_code,property_type,address,suburb_name,postcode,bedrooms,list_date
rent,ACT,apartment,118A Copacabana Drive,Central,2601,2,21/2/2023
rent,ACT,townhouse,3/59 Donnison Street,Central,2601,2,21/2/2023
rent,ACT,house,12 Yaralla Road,Central,2601,3,21/2/2023
rent,ACT,house,1 The Rampart,Central,2601,2,21/2/2023
rent,ACT,house,957 The Entrance Road,Central,2601,3,21/2/2023
rent,ACT,house,25B Torrens Avenue,Central,2601,3,21/2/2023
rent,ACT,house,24B Yuruga Ave,Central,2601,2,21/2/2023
rent,ACT,house,25A Torrens Avenue,Central,2601,3,21/2/2023
rent,ACT,apartment,5/15 Beach Parade,Central,2601,2,21/2/2023
rent,ACT,house,49 Laelana Avenue,Central,2601,3,21/2/2023
rent,ACT,house,173 Del Monte Place,Central,2601,3,21/2/2023
rent,ACT,house,7 Parklands Close,Central,2601,4,21/2/2023
rent,ACT,house,14  Plantation Place,Central,2601,3,21/2/2023
rent,ACT,house,331 Main Road,Central,2601,3,21/2/2023
rent,ACT,house,48 Flathead Road,Central,2601,3,21/2/2023
rent,ACT,townhouse,68A Jarrett Street,Central,2601,3,21/2/2023
rent,ACT,villa,16a Oaks Avenue,Central,2601,3,21/2/2023
rent,ACT,apartment,2/19 Range Road,Central,2601,2,21/2/2023
rent,ACT,duplex/semi-detached,1/16 Pacific Avenue,Central,2601,2,21/2/2023
rent,ACT,apartment,1/148 Albany Street,Central,2601,2,21/2/2023
rent,ACT,villa,82 Tuggerawong Road,Central,2601,1,21/2/2023
rent,ACT,apartment,6/27 Moore Street,Turner,2612,1,21/2/2023
rent,ACT,house,3 Sprent St,Narrabundah,2604,3,21/2/2023
rent,ACT,townhouse,44B Arndell Street,Macquarie,2614,3,21/2/2023
rent,ACT,house,14 Daintree Crescent,Kaleen,2617,4,21/2/2023
rent,ACT,apartment,127/54 Printers Way,Kingston,2604,3,21/2/2023
rent,ACT,townhouse,16A Edgeworth Parade,Coombs,2611,3,21/2/2023
rent,ACT,house,18 McKinlay Street,Narrabundah,2604,3,21/2/2023
rent,ACT,house,73a Bungary Rd,Central,2601,2,21/2/2023
rent,ACT,house,22 Kenilworth Street,Central,2601,3,21/2/2023
rent,ACT,house,15 Brentwood Avenue,Central,2601,3,21/2/2023
rent,ACT,house,21 Boronia Road,Central,2601,4,21/2/2023
rent,ACT,apartment,15A Greenhaven Drive,Central,2601,1,21/2/2023
rent,ACT,apartment,55/6-16 hargarves Street,Central,2601,2,21/2/2023
rent,ACT,house,1 Silverbirch Ave,Central,2601,4,21/2/2023
rent,ACT,house,13 MacKay Drive,Central,2601,2,21/2/2023
rent,ACT,house,61a Catalina Rd,Central,2601,2,21/2/2023
rent,ACT,duplex/semi-detached,51B Oakes Avenue,Central,2601,3,21/2/2023
rent,ACT,apartment,22/2 Hopegood Place,Garran,2605,2,21/2/2023
rent,ACT,terrace,25/1 Pape Street,Franklin,2913,2,21/2/2023
rent,ACT,townhouse,26/54 Bluebell Street,O'Connor,2602,2,21/2/2023
rent,ACT,house,30 Charteris Crescent,Chifley,2606,4,21/2/2023
rent,ACT,house,15 Keira Street,Narrabundah,2604,3,21/2/2023
rent,ACT,apartment,14/16 Elouera Street,Braddon,2612,1,21/2/2023
rent,ACT,townhouse,91/36 Paul Coe Crescent,Ngunnawal,2913,3,21/2/2023
rent,ACT,townhouse,136 Narden Street,Crace,2911,2,21/2/2023
rent,ACT,house,12B Eckley Street,Gungahlin,2912,2,21/2/2023
rent,ACT,apartment,17/2 Bamblett Rise,Denman Prospect,2611,2,21/2/2023
rent,ACT,apartment,59/8 Baudinette Circuit,Bruce,2617,1,21/2/2023
rent,ACT,apartment,610/2 Terry Connolly Street,Coombs,2611,2,21/2/2023
rent,ACT,apartment,1005/25 Edinburgh Avenue,City,2601,1,21/2/2023
rent,ACT,apartment,39/111 Canberra Avenue,Griffith,2603,2,21/2/2023
rent,ACT,apartment,702/2 Akuna Street,City,2601,2,21/2/2023
rent,ACT,townhouse,4/36 Forbes Street,Turner,2612,3,21/2/2023
rent,ACT,townhouse,103 Wybalena Grove,Cook,2614,2,21/2/2023
rent,ACT,apartment,61/7 Light Street,Griffith,2603,2,21/2/2023
rent,ACT,house,6 Monkman Street,Chapman,2611,4,21/2/2023
rent,ACT,townhouse,1/78 Torrens Street,Braddon,2612,4,21/2/2023
rent,ACT,apartment,84/2 New Church Street,Coombs,2611,2,21/2/2023
rent,ACT,townhouse,11 De Mestre Place,Holt,2615,2,21/2/2023
rent,ACT,townhouse,5/3 Bagot Street,O'Connor,2602,2,21/2/2023
rent,ACT,house,80/29 Dawes Street,Kingston,2604,2,21/2/2023
rent,ACT,apartment,101/2 Edinburgh Avenue,City,2601,1,21/2/2023
rent,ACT,house,7 Heighway Street,MacGregor,2615,3,21/2/2023
rent,ACT,apartment,159/15 Mower Place,Phillip,2606,3,21/2/2023
rent,ACT,townhouse,G09/10 Parbery Street,Kingston,2604,2,21/2/2023
rent,ACT,house,1 Hyne Place,Fadden,2904,4,21/2/2023
rent,ACT,unit,12/1 McKay Street,Turner,2612,1,21/2/2023
rent,ACT,townhouse,4/4 D'Arcy Place,Chifley,2606,3,21/2/2023
rent,ACT,apartment,26/40 Mort Street,Braddon,2612,2,21/2/2023
rent,ACT,apartment,16/7 Lowrie Street,Dickson,2602,2,21/2/2023
rent,ACT,unit,20/7 Medley Street,Chifley,2606,2,21/2/2023
rent,ACT,townhouse,9/147 Bill Ferguson Circuit,Bonner,2914,3,21/2/2023
rent,ACT,apartment,503/32 Mort Street,Braddon,2612,1,21/2/2023
rent,ACT,apartment,128/39 Mcintyre Street,Narrabundah,2604,2,21/2/2023
rent,ACT,townhouse,80/167 Mortimer Lewis Drive,Greenway,2900,3,21/2/2023
rent,ACT,house,55 Stonehaven Crescent,Deakin,2600,4,21/2/2023
rent,ACT,apartment,76/4 Hoolihan Street,Denman Prospect,2611,2,21/2/2023
rent,ACT,unit,11/39 Majura Avenue,Dickson,2602,2,21/2/2023
rent,ACT,apartment,65 Cooyong Street,Braddon,2612,1,21/2/2023
rent,ACT,house,11 Waldock Street,Chifley,2606,3,21/2/2023
rent,ACT,house,16 Walter Crocker Crescent,Casey,2913,4,21/2/2023
rent,ACT,house,18 Pattinson Crescent,Flynn,2615,4,21/2/2023
rent,ACT,house,1/13 Barden Place,Gordon,2906,2,21/2/2023
rent,ACT,house,24 Dagmar Berne Street,MacGregor,2615,3,21/2/2023
rent,ACT,townhouse,7/9 Bisdee Street,Hughes,2605,2,22/2/2023
rent,ACT,unit,206/2 Wilhelmina Street,Central,2601,2,22/2/2023
rent,ACT,unit,80/57 Benjamin Way,Belconnen,2617,1,22/2/2023
rent,ACT,house,28 Canterbury Street,Central,2601,3,22/2/2023
rent,ACT,house,39 Stringybark Drive,Queanbeyan,2620,4,22/2/2023
rent,ACT,house,36 Karri Crescent,Paddys River,2620,3,22/2/2023
rent,ACT,unit,5/26A Broughton Place,Paddys River,2620,2,22/2/2023
rent,ACT,house,37B Thurralilly Street,Paddys River,2620,3,22/2/2023
