iter	Passed	Remaining
400	16943	25308
401	16983	25263
402	17019	25212
403	17056	25162
404	17092	25110
405	17127	25058
406	17165	25010
407	17204	24962
408	17249	24925
409	17294	24886
410	17337	24845
411	17376	24799
412	17415	24752
413	17454	24705
414	17494	24661
415	17536	24618
416	17577	24574
417	17615	24526
418	17654	24479
419	17694	24434
420	17733	24388
421	17771	24340
422	17810	24294
423	17851	24251
424	17890	24205
425	17932	24162
426	17974	24120
427	18018	24080
428	18061	24040
429	18108	24003
430	18148	23959
431	18187	23913
432	18225	23866
433	18266	23822
434	18305	23775
435	18344	23730
436	18383	23684
437	18435	23654
438	18474	23609
439	18517	23567
440	18560	23527
441	18607	23491
442	18649	23448
443	18694	23409
444	18737	23368
445	18779	23326
446	18819	23281
447	18858	23236
448	18898	23191
449	18938	23146
450	18977	23101
451	19019	23059
452	19063	23019
453	19108	22980
454	19155	22944
455	19195	22899
456	19235	22854
457	19275	22810
458	19317	22768
459	19357	22724
460	19397	22679
461	19436	22633
462	19477	22590
463	19517	22546
464	19559	22503
465	19599	22459
466	19638	22413
467	19676	22367
468	19717	22323
469	19756	22278
470	19795	22233
471	19833	22186
472	19872	22140
473	19914	22099
474	19953	22054
475	19993	22009
476	20031	21963
477	20071	21919
478	20111	21874
479	20151	21831
480	20196	21791
481	20235	21746
482	20275	21702
483	20314	21657
484	20352	21611
485	20393	21568
486	20435	21526
487	20477	21484
488	20518	21441
489	20557	21396
490	20596	21351
491	20643	21314
492	20688	21275
493	20726	21230
494	20766	21185
495	20807	21143
496	20847	21099
497	20890	21058
498	20929	21013
499	20972	20972
500	21015	20931
501	21054	20886
502	21094	20843
503	21134	20799
504	21174	20755
505	21212	20709
506	21252	20666
507	21292	20621
508	21331	20577
509	21370	20532
510	21411	20489
511	21453	20448
512	21494	20404
513	21538	20365
514	21580	20323
515	21620	20279
516	21658	20234
517	21697	20189
518	21736	20144
519	21773	20098
520	21812	20053
521	21849	20008
522	21888	19963
523	21928	19919
524	21968	19876
525	22008	19832
526	22045	19786
527	22084	19742
528	22122	19697
529	22162	19653
530	22198	19606
531	22234	19559
532	22276	19517
533	22316	19474
534	22354	19429
535	22393	19385
536	22432	19341
537	22472	19297
538	22512	19254
539	22552	19211
540	22590	19166
541	22631	19123
542	22672	19081
543	22713	19039
544	22754	18997
545	22793	18953
546	22832	18908
547	22873	18866
548	22913	18823
549	22954	18781
550	22994	18737
551	23031	18692
552	23070	18648
553	23108	18603
554	23148	18560
555	23187	18517
556	23226	18472
557	23265	18429
558	23316	18394
559	23355	18351
560	23394	18306
561	23432	18261
562	23469	18216
563	23508	18173
564	23548	18129
565	23587	18086
566	23626	18042
567	23664	17998
568	23703	17954
569	23742	17910
570	23782	17868
571	23821	17824
572	23862	17782
